split,label_baseline,count
test,body_text,1556
test,ignore,326
test,list_item,297
test,figure_caption,199
test,bibliography_item,139
test,title_subsection,94
test,title_section,42
test,appendix_title,32
test,table_caption,13
test,bibliography_title,9
train,body_text,8740
train,list_item,1463
train,figure_caption,1310
train,ignore,1307
train,title_subsection,800
train,bibliography_item,587
train,title_section,308
train,appendix_title,130
train,table_caption,48
train,bibliography_title,41
val,body_text,1419
val,list_item,371
val,figure_caption,286
val,ignore,184
val,bibliography_item,151
val,title_subsection,75
val,title_section,50
val,appendix_title,21
val,bibliography_title,9
val,table_caption,5
