actual_label,predicted_label,count
appendix_title,appendix_title,21
appendix_title,bibliography_item,0
appendix_title,bibliography_title,0
appendix_title,body_text,0
appendix_title,figure_caption,0
appendix_title,ignore,0
appendix_title,list_item,0
appendix_title,table_caption,0
appendix_title,title_section,0
appendix_title,title_subsection,0
bibliography_item,appendix_title,0
bibliography_item,bibliography_item,104
bibliography_item,bibliography_title,0
bibliography_item,body_text,35
bibliography_item,figure_caption,0
bibliography_item,ignore,0
bibliography_item,list_item,2
bibliography_item,table_caption,0
bibliography_item,title_section,9
bibliography_item,title_subsection,1
bibliography_title,appendix_title,0
bibliography_title,bibliography_item,0
bibliography_title,bibliography_title,9
bibliography_title,body_text,0
bibliography_title,figure_caption,0
bibliography_title,ignore,0
bibliography_title,list_item,0
bibliography_title,table_caption,0
bibliography_title,title_section,0
bibliography_title,title_subsection,0
body_text,appendix_title,0
body_text,bibliography_item,6
body_text,bibliography_title,0
body_text,body_text,1244
body_text,figure_caption,0
body_text,ignore,21
body_text,list_item,109
body_text,table_caption,0
body_text,title_section,7
body_text,title_subsection,32
figure_caption,appendix_title,0
figure_caption,bibliography_item,0
figure_caption,bibliography_title,0
figure_caption,body_text,22
figure_caption,figure_caption,263
figure_caption,ignore,0
figure_caption,list_item,1
figure_caption,table_caption,0
figure_caption,title_section,0
figure_caption,title_subsection,0
ignore,appendix_title,0
ignore,bibliography_item,0
ignore,bibliography_title,0
ignore,body_text,19
ignore,figure_caption,1
ignore,ignore,163
ignore,list_item,1
ignore,table_caption,0
ignore,title_section,0
ignore,title_subsection,0
list_item,appendix_title,0
list_item,bibliography_item,0
list_item,bibliography_title,0
list_item,body_text,51
list_item,figure_caption,0
list_item,ignore,4
list_item,list_item,298
list_item,table_caption,0
list_item,title_section,2
list_item,title_subsection,16
table_caption,appendix_title,0
table_caption,bibliography_item,0
table_caption,bibliography_title,0
table_caption,body_text,2
table_caption,figure_caption,0
table_caption,ignore,0
table_caption,list_item,0
table_caption,table_caption,3
table_caption,title_section,0
table_caption,title_subsection,0
title_section,appendix_title,0
title_section,bibliography_item,0
title_section,bibliography_title,0
title_section,body_text,0
title_section,figure_caption,0
title_section,ignore,0
title_section,list_item,0
title_section,table_caption,0
title_section,title_section,50
title_section,title_subsection,0
title_subsection,appendix_title,0
title_subsection,bibliography_item,2
title_subsection,bibliography_title,0
title_subsection,body_text,3
title_subsection,figure_caption,0
title_subsection,ignore,0
title_subsection,list_item,7
title_subsection,table_caption,0
title_subsection,title_section,1
title_subsection,title_subsection,62
