positive,negative,formatted,text_similarity,before_diff_rate,after_diff_rate,diff_delta,before_changed,after_changed,before_field_mismatches,after_field_mismatches,field_mismatch_delta,formatter_changed,formatter_review,formatter_blocked_unsafe,formatter_error
3.docx,3_formatted_20260413_194927.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/3_formatted_20260413_194927/3_formatted_20260413_194927_safe_formatted.docx,1.0,0.356115,0.359712,0.003597,99,100,692,630,-62,71,196,23,0
45.docx,45_formatted_20260414_220339.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/45_formatted_20260414_220339/45_formatted_20260414_220339_safe_formatted.docx,1.0,0.405405,0.412162,0.006757,60,61,435,372,-63,42,79,1,0
4.docx,4_formatted_20260413_185420.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/4_formatted_20260413_185420/4_formatted_20260413_185420_safe_formatted.docx,1.0,0.146199,0.163743,0.017544,25,28,174,165,-9,26,132,12,0
58.docx,58_formatted_13042026.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/58_formatted_13042026/58_formatted_13042026_safe_formatted.docx,1.0,0.551724,0.510972,-0.040752,176,163,299,284,-15,30,112,3,0
59.docx,59_formatted_20260414_105242.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/59_formatted_20260414_105242/59_formatted_20260414_105242_safe_formatted.docx,1.0,0.615702,0.615702,0.0,149,149,1124,1106,-18,9,82,14,0
3.docx,tmp573fh8l3_baseline_formatted_20260510_124713.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmp573fh8l3_baseline_formatted_20260510_124713/tmp573fh8l3_baseline_formatted_20260510_124713_safe_formatted.docx,1.0,0.363309,0.366906,0.003597,101,102,595,572,-23,42,176,1,0
1.docx,tmp5x0alx_2_baseline_formatted_20260506_091235.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmp5x0alx_2_baseline_formatted_20260506_091235/tmp5x0alx_2_baseline_formatted_20260506_091235_safe_formatted.docx,1.0,0.963899,0.963899,0.0,267,267,1177,1017,-160,105,10,7,0
3.docx,tmp87dmvlvk_baseline_formatted_20260512_082333.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmp87dmvlvk_baseline_formatted_20260512_082333/tmp87dmvlvk_baseline_formatted_20260512_082333_safe_formatted.docx,1.0,0.294964,0.26259,-0.032374,82,73,147,124,-23,28,211,0,0
59.docx,tmp98a4ttfk_transformer_formatted_20260417_192113.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmp98a4ttfk_transformer_formatted_20260417_192113/tmp98a4ttfk_transformer_formatted_20260417_192113_safe_formatted.docx,1.0,0.921488,0.884298,-0.03719,223,214,1211,1193,-18,19,49,14,0
1.docx,tmp9dp7t40y_transformer_formatted_20260417_181218.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmp9dp7t40y_transformer_formatted_20260417_181218/tmp9dp7t40y_transformer_formatted_20260417_181218_safe_formatted.docx,1.0,0.855596,0.855596,0.0,237,237,765,611,-154,95,23,7,0
58.docx,tmpeue0qt4s_transformer_formatted_20260417_200229.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmpeue0qt4s_transformer_formatted_20260417_200229/tmpeue0qt4s_transformer_formatted_20260417_200229_safe_formatted.docx,1.0,0.61442,0.60815,-0.00627,196,194,903,888,-15,30,50,3,0
3.docx,tmpfdswws9k_baseline_formatted_20260510_120957.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmpfdswws9k_baseline_formatted_20260510_120957/tmpfdswws9k_baseline_formatted_20260510_120957_safe_formatted.docx,1.0,0.363309,0.366906,0.003597,101,102,594,570,-24,44,174,1,0
3.docx,tmpoiwe70b__baseline_formatted_20260511_072314.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmpoiwe70b__baseline_formatted_20260511_072314/tmpoiwe70b__baseline_formatted_20260511_072314_safe_formatted.docx,1.0,0.363309,0.366906,0.003597,101,102,595,572,-23,41,176,1,0
3.docx,tmpqki48i6f_baseline_formatted_20260511_081245.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmpqki48i6f_baseline_formatted_20260511_081245/tmpqki48i6f_baseline_formatted_20260511_081245_safe_formatted.docx,1.0,0.370504,0.374101,0.003597,103,104,599,576,-23,41,174,1,0
3.docx,tmpuduwrwlq_baseline_formatted_20260511_072202.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmpuduwrwlq_baseline_formatted_20260511_072202/tmpuduwrwlq_baseline_formatted_20260511_072202_safe_formatted.docx,1.0,0.251799,0.255396,0.003597,70,71,115,116,1,13,197,0,0
1.docx,tmpvjs3h6jd_transformer_formatted_20260417_161008.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmpvjs3h6jd_transformer_formatted_20260417_161008/tmpvjs3h6jd_transformer_formatted_20260417_161008_safe_formatted.docx,1.0,0.379061,0.379061,0.0,105,105,725,573,-152,94,143,7,0
3.docx,tmpwkqop01c_baseline_formatted_20260510_105423.docx,/Users/fedorova.van/experiments/gost_formatter/results/reports/regression_audit/20260513_224009/tmpwkqop01c_baseline_formatted_20260510_105423/tmpwkqop01c_baseline_formatted_20260510_105423_safe_formatted.docx,1.0,0.356115,0.359712,0.003597,99,100,601,577,-24,44,174,1,0
